,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
0,David,Raya Martín,0,0,26,450,2,10.0,116.8,0.0,3,115,12.6,3,0,1,24.5,55,GK,4.7
1,Kepa,Arrizabalaga Revuelta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,44,GK,0.0
2,Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,GK,0.0
3,Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
4,Gabriel,dos Santos Magalhães,0,0,25,450,2,8.6,99.2,21.0,1,102,12.9,3,0,0,22.9,61,DEF,4.1
5,William,Saliba,0,0,18,274,1,5.2,74.8,6.0,1,71,8.7,2,0,0,12.5,60,DEF,3.0
6,Riccardo,Calafiori,1,2,35,381,2,44.2,93.0,89.0,3,103,22.6,3,0,2,14.3,57,DEF,6.1
7,Jurriën,Timber,2,1,35,341,2,68.1,146.2,129.0,5,125,34.4,2,0,2,13.6,58,DEF,6.0
8,Jakub,Kiwior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54,DEF,0.0
9,Myles,Lewis-Skelly,0,0,2,66,0,5.7,4.4,0.0,0,9,0.9,0,0,1,2.1,53,DEF,0.4
10,Benjamin,White,0,0,6,70,0,11.3,15.4,1.0,0,23,2.8,1,0,0,0.5,54,DEF,1.1
11,Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,DEF,0.0
12,Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
13,Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
14,Bukayo,Saka,1,0,10,187,0,79.1,58.0,35.0,0,41,17.2,1,0,0,4.1,98,MID,1.0
15,Martin,Ødegaard,0,0,8,164,1,32.1,20.8,22.0,0,27,7.5,1,0,0,1.9,79,MID,1.0
16,Noni,Madueke,0,0,10,304,2,111.7,30.2,105.0,0,39,24.6,2,0,0,1.5,70,MID,1.4
17,Gabriel,Martinelli Silva,1,0,12,150,0,15.3,42.6,44.0,1,43,10.2,1,0,0,1.1,69,MID,1.7
18,Leandro,Trossard,0,1,7,131,1,36.3,30.2,25.0,0,29,9.2,0,0,0,0.3,69,MID,1.0
19,Declan,Rice,0,2,20,374,2,112.3,63.2,15.0,1,76,19.1,2,0,0,8.2,65,MID,3.1
20,Mikel,Merino Zazón,0,0,8,211,1,39.9,28.4,33.0,0,29,10.2,2,0,0,0.5,59,MID,1.4
21,Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
22,Christian,Nørgaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,54,MID,0.0
23,Ethan,Nwaneri,0,0,5,130,0,20.9,8.2,20.0,0,14,4.9,1,0,0,0.2,53,MID,0.9
24,Martín,Zubimendi Ibáñez,2,0,27,450,2,44.9,101.0,45.0,3,96,19.1,3,0,1,4.0,54,MID,5.0
25,Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID,0.0
26,Albert,Sambi Lokonga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
27,Kai,Havertz,0,0,1,30,0,0.8,2.8,2.0,0,4,0.6,0,0,0,0.4,73,FWD,0.1
28,Gabriel,Fernando de Jesus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,64,FWD,0.0
29,Eberechi,Eze,0,2,14,226,1,38.3,54.0,60.0,0,49,15.3,2,0,0,12.1,75,MID,1.9
30,Cristhian,Mosquera,0,0,11,202,1,2.4,51.4,4.0,1,56,5.8,1,0,0,0.2,54,DEF,2.0
31,Viktor,Gyökeres,3,0,22,396,2,46.2,109.2,110.0,2,85,26.6,2,0,1,25.4,90,FWD,2.4
32,Max,Dowman,0,1,5,27,0,0.8,1.0,26.0,0,13,2.8,0,0,0,0.4,45,MID,1.1
33,Andre,Harriman-Annous,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
34,Piero,Hincapié,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,DEF,0.0
35,Emiliano,Martínez Romero,0,0,11,270,2,0.0,51.8,0.0,0,54,5.2,1,0,0,2.2,50,GK,2.2
36,Marco,Bizot,0,0,7,180,3,0.0,25.4,0.0,0,22,2.6,1,0,1,0.6,45,GK,1.6
37,Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK,0.0
38,Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
39,Matty,Cash,1,0,25,433,4,72.6,121.8,20.0,2,84,21.6,2,0,2,5.1,46,DEF,5.4
